row_id,campaign_name,Platform,hotel,Date,impressions,Clicks,spend_idr,conversions,bookings_generated,Revenue_Generated_IDR,ad_creative_id,target_audience
1,Summer Escape 2024 ,Email Campaign,Katamama Resort,2024-01-04,49467,3199,8985169.0,289,182,917750288,,Broad
2,Eid Holiday Package,TikTok Ads,The Layar Seminyak,2024-03-03,5412,402,13970367.0,21,17,86157139,CRE013,Lookalike
3, Summer Escape 2024,TikTok Ads,Bisma Eight,2024-03-21,77897,4742,9440921.0,326,186,1082732598,CRE020,Lookalike
4,Valentine Weekend,Organic,Bisma Eight,2024-01-03,72139,3909,7101312.0,352,153,775907064,CRE021,
5,Summer Escape 2024,Meta Ads,Katamama Resort,2024-03-19,78555,1281,13799298.0,136,62,108917694,CRE038,Lookalike
6,eid holiday package,Organic,Katamama Resort,2024-01-29,4784,367,12750352.0,28,13,88050079,,Broad
7,Flash Sale 48H,Meta Ads,Komaneka Bisma,2024-03-16,18410,235,13878051.0,13,10,31283340,,Lookalike
8,Summer Escape 2024,Meta Ads,The Layar Seminyak,2024-01-16,76513,5330,20190597.0,220,191,376896289,CRE046,Retargeting
9,Long Weekend Promo,Email Campaign,Komaneka Bisma,2024-03-01,40480,611,23255811.0,16,10,66902870,CRE034,
10,Long Weekend Promo,Meta Ads,Alaya Ubud,2024-01-10,65353,1047,9183648.0,44,25,81017125,CRE027,Retargeting
11,Eid Holiday Package ,Email Campaign,Alaya Ubud,2024-01-02,56158,2700,20830715.0,194,79,341423227,CRE012,Lookalike
12,Loyalty Member Deal,Organic,The Layar Seminyak,2024-01-08,79805,1843,14643801.0,62,53,142550496,CRE048,Broad
13,Flash Sale 48H,Email Campaign,Bisma Eight,2024-02-13,41810,2792,18833715.0,194,149,453156829,CRE006,Retargeting
14,Summer Escape 2024,TikTok Ads,The Mulia Nusa Dua,2024-01-18,71151,5273,20339562.0,442,397,1458687969,CRE026,Lookalike
15,Long Weekend Promo,Email Campaign,The Layar Seminyak,2024-02-08,6748,323,15147562.0,7,3,16741827,CRE024,Retargeting
16,Eid Holiday Package,Meta Ads,Bisma Eight,2024-01-12,28938,1265,16165493.0,136,68,288483268,CRE040,Lookalike
17,Long Weekend Promo,Email Campaign,The Layar Seminyak,2024-03-23,44579,3131,21214871.0,325,133,968226833,CRE046,Lookalike
18,Long Weekend Promo,Email Campaign,The Layar Seminyak,2024-03-07,69778,4780,24753498.0,573,431,3419154032,CRE013,Retargeting
19,Long Weekend Promo ,TikTok Ads,The Mulia Nusa Dua,2024-02-28,52358,1578,13221231.0,106,92,724428424,CRE015,Lookalike
20,Long Weekend Promo,Google Ads,The Mulia Nusa Dua,2024-01-20,40467,2328,2669749.0,205,102,614788680,CRE026,Lookalike
21,Long Weekend Promo,Meta Ads,Alaya Ubud,2024-03-17,35274,2084,12053215.0,141,109,269404073,,Lookalike
22,Long Weekend Promo,Email Campaign,Bisma Eight,2024-03-20,11417,195,15100874.0,8,6,10796562,CRE001,
23,Valentine Weekend,TikTok Ads,Alaya Ubud,2024-03-11,14117,245,19282188.0,8,5,11191745,CRE002,Retargeting
24,Valentine Weekend,TikTok Ads,Katamama Resort,2024-03-18,64556,1538,5203963.0,149,105,610221780,CRE021,Lookalike
25,Flash Sale 48H,Organic,Katamama Resort,2024-01-18,25566,763,3264513.0,57,35,60809455,CRE012,Retargeting
26,Summer Escape 2024,Meta Ads,Bisma Eight,2024-02-28,32140,1987,6143745.0,87,27,210030057,CRE050,Interest
27,Valentine Weekend,Organic,Katamama Resort,2024-01-03,5186,351,10408594.0,19,15,93252840,,Broad
28,Long Weekend Promo,Google Ads,Katamama Resort,2024-01-29,983,76,7057556.0,7,4,13020400,CRE048,Retargeting
29,Long Weekend Promo,TikTok Ads,Alaya Ubud,2024-02-06,52776,710,15371472.0,38,22,170021698,CRE044,Lookalike
30,Loyalty Member Deal,Email Campaign,Bisma Eight,2024-03-30,41328,2027,723221.0,125,106,660952294,CRE015,Lookalike
31,Long Weekend Promo,Google Ads,Alaya Ubud,2024-03-06,10654,371,11543915.0,7,3,7057512,CRE014,Broad
32,Long Weekend Promo ,Meta Ads,The Layar Seminyak,2024-03-23,18247,357,10300307.0,28,16,112285536,CRE046,Retargeting
33,Eid Holiday Package ,Email Campaign,Katamama Resort,2024-03-19,35313,1809,23348327.0,124,52,181981436,,Retargeting
34,SUMMER ESCAPE 2024,Google Ads,The Layar Seminyak,2024-01-10,35467,795,19499476.0,88,32,238158624,CRE044,Retargeting
35,Loyalty Member Deal,Email Campaign,Komaneka Bisma,2024-01-26,5365,274,19339998.0,16,8,42785248,CRE011,Retargeting
36, Eid Holiday Package,Google Ads,Komaneka Bisma,2024-02-17,52289,4061,12507548.0,373,256,1502678016,CRE019,Retargeting
37,Long Weekend Promo,Google Ads,Bisma Eight,2024-01-17,10023,620,5887151.0,67,32,57539072,,Broad
38,long weekend promo,Meta Ads,The Mulia Nusa Dua,2024-02-01,69743,3986,10882328.0,358,298,1475646830,,Lookalike
39,Valentine Weekend,TikTok Ads,The Mulia Nusa Dua,2024-03-10,47857,1207,23974899.0,89,40,133345040,CRE004,Broad
40,Valentine Weekend,Email Campaign,Katamama Resort,2024-01-22,78834,3100,17915611.0,278,160,1226578720,CRE018,Retargeting
41,Long Weekend Promo,Email Campaign,The Mulia Nusa Dua,2024-02-18,73756,4819,2245953.0,145,120,724544760,CRE004,Broad
42,Valentine Weekend,Meta Ads,Alaya Ubud,2024-03-16,29192,447,8538895.0,16,12,27243168,CRE040,Interest
43,Eid Holiday Package,Organic,Bisma Eight,2024-03-21,56747,3212,10225864.0,305,262,933255266,CRE026,Broad
44,Valentine Weekend,Google Ads,The Layar Seminyak,2024-03-27,32886,765,10814605.0,47,34,180701262,CRE006,Lookalike
45,Eid Holiday Package,Organic,Komaneka Bisma,2024-02-03,18720,829,2103123.0,88,60,91074780,CRE033,
46, Valentine Weekend,Meta Ads,Bisma Eight,2024-01-14,77302,1312,,153,123,500851326,CRE036,Interest
47,Eid Holiday Package,Email Campaign,The Layar Seminyak,2024-03-22,18283,1267,7483786.0,139,81,274608387,CRE014,Retargeting
48,Long Weekend Promo,TikTok Ads,Komaneka Bisma,2024-02-07,57195,3451,3418725.0,172,137,668928119,CRE014,Interest
49, Valentine Weekend,Email Campaign,The Layar Seminyak,2024-01-01,36619,944,17006360.0,21,15,79700805,CRE011,Lookalike
50,Loyalty Member Deal,TikTok Ads,Katamama Resort,2024-03-17,24408,1555,10148399.0,151,107,832672074,CRE019,Retargeting
51,Eid Holiday Package ,Email Campaign,Komaneka Bisma,2024-02-05,43911,1776,4065991.0,200,155,488145685,CRE027,Interest
52,Long Weekend Promo,Email Campaign,The Layar Seminyak,2024-01-31,29355,1171,16617510.0,40,21,74855508,CRE037,
53, Summer Escape 2024,Email Campaign,The Layar Seminyak,2024-03-28,61115,4530,14637704.0,139,113,379471967,CRE003,
54,flash sale 48h,Meta Ads,Komaneka Bisma,2024-02-02,37369,1365,1265647.0,113,35,220975895,CRE031,
55,Summer Escape 2024,TikTok Ads,Komaneka Bisma,2024-01-08,73895,4722,21681112.0,476,419,1764962918,CRE020,
56,Loyalty Member Deal,Email Campaign,Alaya Ubud,2024-02-01,64377,4013,21385706.0,437,332,644347924,CRE024,Broad
57,Flash Sale 48H,Email Campaign,The Layar Seminyak,2024-01-14,33395,516,13602228.0,50,31,134592359,CRE016,
58,Flash Sale 48H,Organic,Katamama Resort,2024-02-20,62048,1302,13635229.0,48,23,130658699,CRE043,Interest
