pos_transaction_id,outlet_name,hotel_name,transaction_date,customer_id,item_name,category,quantity,unit_price,total_amount,payment_method,staff_id
POS-000001,The Layar - Pool Bar,The Layar Seminyak,01 Jan 2024,CUST00089,Club Sandwich,Food,2,110000.0,220000,Dana,STF032
POS-000002,The Layar - Pool Bar,The Layar Seminyak,01 Jan 2024,,Smoothie,Beverage,2,70000.0,140000.00,cash,STF034
POS-000003,The Layar - Pool Bar,The Layar Seminyak,01-01-2024,CUST00008,Beef Burger,Food,4,135000.0,540000,Credit Card,STF039
POS-000004,The Layar - Pool Bar,The Layar Seminyak,01/01/2024,CUST00453,Club Sandwich,Food,2,,"IDR 220,000",Cash,STF011
POS-000005,The Layar - Pool Bar,The Layar Seminyak,01-01-2024,,Fresh Juice,Beverage,4,55000.0,220000,Cash,STF041
POS-000006,The Layar - Pool Bar,The Layar Seminyak,01/01/2024,CUST00488,Caesar Salad,Food,2,95000.0,190000,Credit Card,STF039
POS-000007,The Layar - Pool Bar,The Layar Seminyak,01-01-2024,CUST00213,Nasi goreng spesial,Food,2,85000.0,170000,Cash,STF024
POS-000008,The Layar - Pool Bar,The Layar Seminyak,01 Jan 2024,,Beef Burger,Food,1,121500.0,121500.00,CC,STF024
POS-000009,The Layar - Pool Bar,The Layar Seminyak,01-01-2024,,Nasi Goreng,Food,4,93500.00000000001,374000.00000000006,CC,STF046
POS-000010,The Layar - Pool Bar,The Layar Seminyak,01-01-2024,CUST00432,Beef Burger,Food,4,135000.0,540000.00,GoPay,STF031
POS-000011,The Layar - Pool Bar,The Layar Seminyak,01/01/2024,CUST00675,Ice Cream,Dessert,4,60000.0,240000,Dana,STF043
POS-000012,The Layar - Pool Bar,The Layar Seminyak,01/01/2024,CUST00364,Beef Burger,Food,2,135000.0,270000,GoPay,STF043
POS-000013,The Layar - Pool Bar,The Layar Seminyak,2024-01-01,CUST00354,Sparkling Water,Beverage,2,,88000.00,GoPay,STF044
POS-000014,The Layar - Pool Bar,The Layar Seminyak,20240101,CUST00757,Tiramisu,Dessert,4,85000.0,340000,CC,STF039
POS-000015,The Layar - Pool Bar,The Layar Seminyak,01-01-2024,CUST00060,Nasi Goreng,Food,3,85000.0,255000,Dana,STF019
POS-000016,The Layar - Pool Bar,The Layar Seminyak,01/01/2024,,Caesar Salad,Food,4,95000.0,380000,OVO,STF027
POS-000017,The Layar - Pool Bar,The Layar Seminyak,01 Jan 2024,CUST00717,coctail,Beverage,3,132000.0,396000.0,cash,STF011
POS-000018,The Layar - Pool Bar,The Layar Seminyak,2024-01-01,CUST00074,Coffee,Beverage,1,45000.0,45000.00,Dana,STF021
POS-000019,The Layar - Pool Bar,The Layar Seminyak,20240101,CUST00351,Pasta Carbonara,Food,1,137500.0,137500.0,cash,STF050
POS-000020,The Layar - Pool Bar,The Layar Seminyak,20240101,CUST00673,Fresh Juice,Beverage,4,55000.0,220000,GoPay,STF042
POS-000021,Katamama Dining,Katamama Resort,20240101,,Sparkling Water,Beverage,2,40000.0,80000,cash,STF015
POS-000022,Katamama Dining,Katamama Resort,01 Jan 2024,CUST00351,Smoothie,Beverage,2,70000.0,140000.00,OVO,STF042
POS-000023,Katamama Dining,Katamama Resort,01/01/2024,CUST00100,Fresh Juice,Beverage,2,60500.00000000001,121000,Cash,STF011
POS-000024,Katamama Dining,Katamama Resort,01/01/2024,,Coffee,,3,40500.0,121500.0,Dana,STF019
POS-000025,Katamama Dining,Katamama Resort,2024-01-01,CUST00343,nasi goreng,Food,2,76500.0,"IDR 153,000",Credit Card,STF045
POS-000026,Katamama Dining,Katamama Resort,20240101,,Cocktail,,4,108000.0,"IDR 432,000",GoPay,STF011
POS-000027,Katamama Dining,Katamama Resort,2024-01-01,CUST00185,Nasi Goreng,Food,1,85000.0,85000,OVO,STF010
